METHOD,ENDPOINT,CATEGORY,USER_TYPE,PARAMETERS,DESCRIPTION,AUTH_REQUIRED
POST,/v1/auth/register,Authentication,Public,name;email;password;phone,Register new user,No
POST,/v1/auth/register/driver,Authentication,Public,name;email;password;phone,Register new driver,No
POST,/v1/auth/register/passenger,Authentication,Public,name;email;password;phone,Register new passenger,No
POST,/v1/auth/mobile/login,Authentication,Public,email_or_phone;password,Mobile optimized login,No
POST,/v1/auth/login,Authentication,Public,email;password,Standard login,No
POST,/v1/auth/forgot-password,Authentication,Public,email,Request password reset,No
POST,/v1/auth/reset-password,Authentication,Public,email;token;password;password_confirmation,Reset password,No
GET,/v1/auth/verify-reset-token/{token},Authentication,Public,token in URL,Verify reset token,No
POST,/v1/auth/logout,Authentication,Authenticated,none,Logout user,Yes
POST,/v1/auth/session/clear,Authentication,Authenticated,none,Clear session,Yes
GET,/v1/auth/token/validate,Authentication,Authenticated,none,Validate token,Yes
GET,/v1/auth/profile,Authentication,Authenticated,none,Get authenticated user profile,Yes
PUT,/v1/auth/profile,Authentication,Authenticated,name;phone;profile_image,Update profile,Yes
POST,/v1/pricing/calculate,Pricing,Public,pickup_lat;pickup_lng;dropoff_lat;dropoff_lng;ride_type,Calculate ride price,No
GET,/v1/locations/search,Location,Public,query;bounds;limit,Search locations,No
GET,/v1/locations/place-details,Location,Public,place_id,Get place details,No
GET,/v1/locations/reverse-geocode,Location,Public,latitude;longitude,Reverse geocode,No
GET,/v1/locations/geocode,Location,Public,address,Geocode address,No
GET,/v1/passenger/profile,Passenger,Passenger,none,Get passenger profile,Yes
PUT,/v1/passenger/profile,Passenger,Passenger,name;phone;profile_image;preferred_contact,Update passenger profile,Yes
GET,/v1/passenger/stats,Passenger,Passenger,none,Get passenger statistics,Yes
GET,/v1/passenger/rides/available,Rides,Passenger,search (optional),Get available rides,Yes
POST,/v1/passenger/rides,Rides,Passenger,ride_id;seats_count;special_instructions,Book a ride,Yes
GET,/v1/passenger/rides,Rides,Passenger,status;limit;offset,Get ride history,Yes
GET,/v1/passenger/rides/{id},Rides,Passenger,id in URL,Get ride details,Yes
PUT,/v1/passenger/rides/{id}/cancel,Rides,Passenger,id in URL;reason (optional),Cancel ride,Yes
POST,/v1/passenger/trip-requests,Trips,Passenger,pickup_lat;pickup_lng;dropoff_lat;dropoff_lng;trip_type;passenger_count,Request a trip,Yes
GET,/v1/passenger/trips,Trips,Passenger,status;limit;offset,Get all trips,Yes
GET,/v1/passenger/trips/{id},Trips,Passenger,id in URL,Get trip details,Yes
POST,/v1/passenger/trips,Trips,Passenger,pickup_location;dropoff_location;trip_type;notes,Create trip,Yes
PUT,/v1/passenger/trips/{id}/cancel,Trips,Passenger,id in URL;reason (optional),Cancel trip,Yes
GET,/v1/passenger/trips/{id}/status,Trips,Passenger,id in URL,Check trip status,Yes
